	cell_1	cell_2	cell_3	cell_4	cell_5	cell_6	cell_7	cell_8	cell_9	cell_10	cell_11	cell_12	cell_13	cell_14	cell_15	cell_16	cell_17	cell_18	cell_19	cell_20
NMNAT1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
UBE4B	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7392057776451111	0.0
KIF1B	0.0	0.0	0.0	0.0	0.0	1.4627575874328613	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PGD	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7483859062194824	0.0	0.47770506143569946	0.0	0.0	1.6307334899902344	0.0	0.4364053010940552	0.0
CORT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DFFA	0.0	0.0	0.0	0.0	0.0	0.0	1.3531099557876587	0.0	0.0	0.0	0.0	0.55525803565979	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PEX14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CASZ1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
C1orf127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TARDBP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4471484422683716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
SRM	1.6400470733642578	0.0	1.638541579246521	1.1398509740829468	0.9147335886955261	0.0	0.0	1.117565393447876	0.0	1.2256704568862915	0.0	0.3156827986240387	1.8094769716262817	0.0	0.0	0.0	0.0	0.0	2.332270860671997	0.0
EXOSC10	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7899220585823059	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4364053010940552	0.0
MTOR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4364053010940552	0.0
UBIAD1	0.0	1.600853443145752	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7483859062194824	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO44	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FBXO6	0.0	0.0	0.0	0.0	0.0	0.0	0.8898318409919739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAD2L2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47770506143569946	0.0	0.0	0.0	1.0070887804031372	0.0	0.0
DRAXIN	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
AGTRAP	0.0	0.0	0.0	0.0	0.0	2.032834529876709	0.0	0.0	0.0	0.0	0.0	0.0	0.7038152813911438	0.0	0.0	0.0	0.0	0.0	0.4364053010940552	0.0
C1orf167	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MTHFR	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CLCN6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47770506143569946	0.0	0.0	0.0	0.0	0.0	0.0
KIAA2013	0.0	0.0	0.0	0.0	0.0	0.0	1.3531099557876587	0.0	0.0	0.0	0.0	0.0	0.7038152813911438	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PLOD1	0.0	0.0	0.0	1.1398509740829468	0.0	0.0	0.0	0.0	0.9459657669067383	0.0	0.0	0.0	0.0	0.0	1.3503501415252686	0.0	0.0	0.0	0.4364053010940552	0.0
MFN2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4232525825500488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MIIP	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7483859062194824	0.0	0.0	0.0	0.0	0.0	1.0070887804031372	0.0	0.0
TNFRSF8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF1B	0.0	0.0	0.0	0.0	0.0	0.0	0.8898318409919739	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
VPS13D	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HNRNPCL1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PRDM2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7899220585823059	0.0	0.3156827986240387	1.4022542238235474	0.0	1.3503501415252686	0.0	1.9687095880508423	1.0070887804031372	0.0	0.0
TMEM51	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FHAD1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
EFHD2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7392057776451111	0.0
CASP9	1.1241846084594727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNAJC16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.47770506143569946	0.0	0.0	0.0	0.0	0.0	0.0
AGMAT	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3156827986240387	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
